,Lat,Lon,Ispark,Full_name,URL,freq_count2
89,51.4792097,-112.7901466,False,1500,https://www.google.com/maps/place/?q=place_id:ChIJy38C1IcSc1MR1Bh0FOdJtRI,1
91,45.2200376,-81.5307717,True,Bruce Peninsula National Park,https://www.google.com/maps/place/?q=place_id:ChIJV_FafvMELU0Rtqm9omn5Shw,8
93,58.797175,-94.213122,True,Prince of Wales Fort National Historic Site,https://www.google.com/maps/place/?q=place_id:ChIJ_eQLIjbZb1IRm6DKNvHDCrU,1
97,46.7332984,-72.76817480000001,True,Parc national de la Mauricie,https://www.google.com/maps/place/?q=place_id:ChIJaXziCBVgxkwRqUc_ok357xs,2
98,48.4276054,-71.0600102,False,Saguenay,https://www.google.com/maps/place/?q=place_id:ChIJvQNCMGgnwEwRND3ZOCx7EP4,2
100,48.3542474,-68.7547014,True,Parc national du Bic,https://www.google.com/maps/place/?q=place_id:ChIJLXL43jbolUwRqslDjBwlluo,1
101,46.8130816,-71.20745959999999,False,Québec City,https://www.google.com/maps/place/?q=place_id:ChIJk4jbBYqWuEwRAzro8GMtxY8,13
103,50.998115,-118.195672,False,Revelstoke,https://www.google.com/maps/place/?q=place_id:ChIJpd1q-gU3eVMRyu_WuX1kPE8,1
104,50.7494136,-120.1079934,False,Paul Lake Provincial Park,https://www.google.com/maps/place/?q=place_id:ChIJU-2g9_00flMRWa5IlLqW3oc,1
106,43.8188014,-79.170812,True,Rouge National Urban Park,https://www.google.com/maps/place/?q=place_id:ChIJh_F4_I_X1IkRXvfHJmZvbYI,2
110,49.9546196,-111.738566,False,Southern Alberta,https://www.google.com/maps/place/?q=place_id:ChIJo0_nQVPObFMRiYQBLUGyzqo,1
112,56.7266231,-111.3790095,False,Fort McMurray,https://www.google.com/maps/place/?q=place_id:ChIJWUQa_-46sFMRt3TKDTMzgVw,1
115,42.9478943,-79.8690857,False,Haldimand County,https://www.google.com/maps/place/?q=place_id:ChIJa3qiThdT04kRuIkd1SEwNVs,1
120,48.78611009999999,-123.1622203,True,Gulf Islands National Park,https://www.google.com/maps/place/?q=place_id:ChIJMzJ1ScT0hVQRAaIgIWVDwE0,2
121,59.0831293,-109.0699387,True,Athabasca Sand Dunes Provincial Park,https://www.google.com/maps/place/?q=place_id:ChIJQxVbH47btFMRUFA9cdao9bA,3
124,43.51668246971072,-80.04085421610436,False,Grand River,https://www.google.com/maps/place/?q=place_id:ChIJmZzZzN_yLIgR8iZyfQ2OnsE,3
125,49.8863235,-119.4965917,False,Kelowna,https://www.google.com/maps/place/?q=place_id:ChIJszDH47aMfVMR98S02j3l-E4,1
